kernel,grid_x,grid_y,grid_z,block_x,block_y,block_z,count,total_ms
"void mul_mat_vec_q<(ggml_type)8, (int)4, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)",1024,1,1,32,4,1,1494,67.907547
"void mul_mat_vec_q<(ggml_type)8, (int)6, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)",1024,1,1,32,2,1,1494,66.96098
"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",1,1,1,1024,1,1,16281,43.400519
"quantize_q8_1(const float *, void *, long long, long long, long long, long long, long long, unsigned int, uint3)",8,1,1,256,1,1,40221,40.92712
"void mul_mat_q<(ggml_type)8, (int)80, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)",20,1,1,32,8,1,579,34.433565
"void mul_mat_q<(ggml_type)8, (int)64, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)",20,1,1,32,8,1,579,32.110345
ampere_s16816gemm_bf16_128x64_ldg8_stages_32x6_tn,8,2,1,128,1,1,726,19.997
ampere_s16816gemm_bf16_64x64_ldg8_stages_64x5_tn,16,1,1,128,1,1,1164,18.761923
"void k_set_rows<float, long long, __half>(const T1 *, const T2 *, T3 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, uint3, uint3, uint3, uint3, uint3)",4,1,1,256,1,1,15960,17.825455
ampere_s16816gemm_bf16_128x64_ldg8_stages_32x6_tn,32,1,1,128,1,1,288,17.050141
ampere_s16816gemm_bf16_64x64_sliced1x2_ldg8_stages_64x6_tn,16,1,1,128,1,1,288,16.608637
ampere_s1688gemm_bf16_128x128_ldg8_stages_32x1_tn,32,1,3,128,1,1,216,15.08832
"void mul_mat_vec_q<(ggml_type)8, (int)4, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)",512,1,1,32,4,1,1008,14.950421
"void mul_mat_vec_q<(ggml_type)8, (int)6, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)",512,1,1,32,2,1,1008,14.368235
"void flash_attn_ext_f16<(int)128, (int)128, (int)32, (int)2, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)",40,1,1,32,4,1,588,12.684824
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",16,1,1,256,1,1,7980,11.093489
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",8,1,1,256,1,1,7980,11.051385
"quantize_q8_1(const float *, void *, long long, long long, long long, long long, long long, unsigned int, uint3)",24,1,1,256,1,1,7998,10.063807
"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)",16,1,1,1,256,1,7980,9.847858
"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)",17,25,256,256,1,1,6,9.487106
"void flash_attn_combine_results<(int)128>(const float *, const float2 *, float *, int)",1,16,1,128,1,1,7980,9.485226
"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)",8,1,1,1,256,1,7980,9.160776
"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)112, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)",20,4,1,32,4,1,1158,7.359768
"void flash_attn_stream_k_fixup_general<(int)128, (int)32, (int)2>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)",40,32,2,128,1,1,588,6.66521
"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)",17,25,96,256,1,1,9,6.410748
void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_32x32_64x1_tn_align8>(T1::Params),24,4,1,128,1,1,291,6.208013
ampere_s16816gemm_bf16_256x128_ldg8_stages_32x3_tn,4,1,5,256,1,1,72,6.058718
"void flash_attn_ext_f16<(int)128, (int)128, (int)4, (int)2, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)",16,1,1,32,4,1,504,5.404932
"void flash_attn_ext_f16<(int)128, (int)128, (int)8, (int)2, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)",32,1,1,32,4,1,504,5.279205
"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)40, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)",20,4,1,32,4,1,1737,5.228506
ampere_h1688gemm_256x64_ldg8_stages_32x1_tn,25,8,6,128,1,1,6,5.218436
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",1,13,3840,25,5,1,6,4.613912
"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)",192000,1,1,64,1,1,6,4.089873
ampere_h1688gemm_256x64_ldg8_stages_32x1_tn,10,8,6,128,1,1,9,4.01793
"quantize_q8_1(const float *, void *, long long, long long, long long, long long, long long, unsigned int, uint3)",8,4,1,256,1,1,2988,4.004402
"quantize_q8_1(const float *, void *, long long, long long, long long, long long, long long, unsigned int, uint3)",8,6,1,256,1,1,2988,3.748963
"void unary_op_kernel<&op_gelu_erf, float>(const T2 *, T2 *, int)",48000,1,1,256,1,1,6,3.701363
"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",104,1,1,1024,1,1,330,3.61371
"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)",17,25,160,256,1,1,3,3.117193
"void flash_attn_ext_f16<(int)64, (int)64, (int)64, (int)1, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)",16,1,1,32,4,1,288,2.937553
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",4,104,1,128,1,1,1020,2.831236
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int, int)",104,4,1,128,1,1,996,2.791058
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",4,39,1,128,1,1,1530,2.719747
"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long long, long long, long long, long long)",2496,1,1,256,1,1,162,2.696963
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",1,13,1440,25,5,1,9,2.65591
"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",4,1,1,1024,1,1,990,2.609164
"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)",48000,1,1,256,1,1,6,2.589729
"void flash_attn_ext_f16<(int)64, (int)64, (int)64, (int)1, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)",40,1,1,32,4,1,216,2.549397
"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)80, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)",20,4,1,32,4,1,579,2.54141
"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)",72000,1,1,64,1,1,9,2.483575
"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)",17,25,128,256,1,1,3,2.415956
"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",6,1,1,1024,1,1,990,2.414687
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",832,1,1,128,1,1,324,2.392929
"void norm_f32<(int)1024>(const float *, float *, int, long long, long long, long long, float)",104,1,1,1024,1,1,294,2.350106
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",16,104,1,256,1,1,168,2.340181
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int, int)",39,4,1,128,1,1,1494,2.222386
"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)",17,13,128,256,1,1,6,2.192035
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",32,1,1,128,1,1,972,2.145089
"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)",156,1,1,256,1,1,1098,2.020474
"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)64, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)",20,4,1,32,4,1,579,1.986033
"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",39,1,1,1024,1,1,495,1.942074
"void cpy_scalar<&cpy_1_scalar<float, __half>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)",1664,1,1,64,1,1,288,1.935464
"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)",416,1,1,256,1,1,732,1.876639
"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)",120000,1,1,64,1,1,3,1.848457
"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)",1664,1,1,1,256,1,168,1.763904
"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)",1664,1,1,256,1,1,144,1.685304
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",16,39,1,256,1,1,252,1.575224
ampere_h1688gemm_256x64_ldg8_stages_32x1_tn,16,8,6,128,1,1,3,1.573013
"void k_set_rows<float, long long, __half>(const T1 *, const T2 *, T3 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, uint3, uint3, uint3, uint3, uint3)",16,1,1,256,1,1,1008,1.545904
void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x64_64x4_tn_align8>(T1::Params),16,1,6,128,1,1,9,1.433898
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",1,13,2400,25,5,1,3,1.418474
"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)",832,1,1,1,256,1,252,1.407632
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",48,1,1,128,1,1,972,1.404432
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",4,52,1,128,1,1,510,1.380631
"void cpy_scalar<&cpy_1_scalar<float, __half>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)",624,1,1,64,1,1,432,1.380001
"void norm_f32<(int)1024>(const float *, float *, int, long long, long long, long long, float)",39,1,1,1024,1,1,441,1.359388
"void k_set_rows<float, long long, __half>(const T1 *, const T2 *, T3 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, uint3, uint3, uint3, uint3, uint3)",24,1,1,256,1,1,1008,1.350017
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",416,1,1,128,1,1,456,1.320151
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",8,104,1,256,1,1,168,1.275478
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",312,1,1,128,1,1,486,1.27356
ampere_h1688gemm_128x128_ldg8_stages_32x1_tn,13,4,4,128,1,1,6,1.267008
"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)",17,13,48,256,1,1,9,1.265726
"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long long, long long, long long, long long)",936,1,1,256,1,1,243,1.248866
"void flash_attn_stream_k_fixup_general<(int)64, (int)64, (int)1>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)",40,64,1,64,1,1,216,1.238728
"void k_set_rows<float, long long, __half>(const T1 *, const T2 *, T3 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, uint3, uint3, uint3, uint3, uint3)",416,1,1,256,1,1,336,1.174042
ampere_h1688gemm_128x128_ldg8_stages_32x1_tn,25,4,1,128,1,1,3,1.155446
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",4,65,1,128,1,1,510,1.151567
"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)",624,1,1,1,256,1,252,1.148917
"void unary_op_kernel<&op_gelu_erf, float>(const T2 *, T2 *, int)",18000,1,1,256,1,1,9,1.148855
"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",65,1,1,1024,1,1,165,1.105951
ampere_h16816gemm_64x64_ldg8_stages_64x5_tn,16,1,1,128,1,1,9,1.105426
"void unary_op_kernel<&op_gelu_erf, float>(const T2 *, T2 *, int)",30000,1,1,256,1,1,3,1.099952
"void unary_op_kernel<&op_gelu_erf, float>(const T2 *, T2 *, int)",1664,1,1,256,1,1,144,1.090252
"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)",96000,1,1,64,1,1,3,1.055471
"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)",17,13,80,256,1,1,3,1.046798
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",16,104,1,128,1,1,144,1.04062
"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)",48000,1,1,64,1,1,6,0.991563
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int, int)",104,12,1,128,1,1,162,0.970858
"void k_set_rows<float, long long, __half>(const T1 *, const T2 *, T3 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, uint3, uint3, uint3, uint3, uint3)",156,1,1,256,1,1,504,0.961482
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int, int)",65,4,1,128,1,1,498,0.953017
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",16,4,1,256,1,1,504,0.926374
"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)",1,13,1920,25,5,1,3,0.91658
"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",52,1,1,1024,1,1,165,0.897481
"quantize_q8_1(const float *, void *, long long, long long, long long, long long, long long, unsigned int, uint3)",24,6,1,256,1,1,486,0.88622
"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long long, long long, long long, long long)",96,1,1,256,1,1,486,0.87
"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)",18000,1,1,256,1,1,9,0.857217
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",16,6,1,256,1,1,504,0.85431
"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long long, long long, long long, long long)",144,1,1,256,1,1,486,0.837207
ampere_h1688gemm_128x128_ldg8_stages_32x1_tn,5,4,3,128,1,1,9,0.836861
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",8,39,1,256,1,1,252,0.83353
"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)",208,1,1,256,1,1,366,0.833174
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",8,4,1,256,1,1,504,0.832867
"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)",16,52,1,256,1,1,84,0.814299
"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)",64,1,1,1,256,1,504,0.813607
